date,wakeup1,wu1_tz,backToBed,btb_tz,wakeup2,wu2_tz,bedtime,bt_tz,sleep1,sleep2,sleepTotal
5/3/2024,,CST,,,,,10:30pm,CST,,,
5/4/2024,5:30am,CST,,,,,,CST,,,
8/10/2024,5:00am,CST,,,,,11:00pm,CST,,,
8/11/2024,5:30am,CST,,,10:00am,CST,10:30pm,CST,,,
8/12/2024,6:00am,CST,,,,,10:30pm,CST,,,
8/13/2024,6:00am,CST,,,,,11:00pm,CST,,,
8/14/2024,5:50am,CST,,,,,10:00pm,CST,,,
8/15/2024,5:00am,CST,,,,,11:40pm,CST,,,
8/16/2024,7:15am,CST,,,,,11:30pm,CST,,,
8/17/2024,7:00am,CST,,,,,11:00pm,CST,,,
8/18/2024,7:00am,CST,,,,,10:30pm,CST,,,
8/19/2024,4:00am,CST,5:00am,CST,7:45am,CST,,CST,,,
8/20/2024,4:00am,CST,,,,,10:15pm,CST,,,
8/21/2024,5:00am,CST,,,,,,CST,,,
8/22/2024,4:30am,CST,,,,,11:00pm,CST,,,
8/23/2024,6:45am,CST,,,,,1:00am,CST,,,
8/24/2024,8:00am,CST,,,,,10:45pm,MST,,,
8/25/2024,7:00am,MST,,,,,9:00pm,MST,,,
8/26/2024,8:15am,MST,,,,,10:30pm,MST,,,
8/27/2024,6:30am,MST,,,,,11:30pm,MST,,,
8/28/2024,3:00am,MST,4:00am,MST,7:30am,MST,9:30pm,MST,,,
8/29/2024,6:00am,MST,,,,,12:30am,MST,,,
8/30/2024,7:00am,MST,,,,,11:15pm,MST,,,
8/31/2024,6:30am,MST,,,,,12:00am,CST,,,
9/1/2024,7:00am,CST,,,,,11:00pm,CST,,,
9/2/2024,6:30am,CST,,,7:45am,CST,10:00pm,CST,,,
9/3/2024,6:30am,CST,,,,,11:30pm,CST,,,
9/4/2024,7:00am,CST,,,,,12:10am,CST,,,
9/5/2024,7:00am,CST,,,,,10:30pm,CST,,,
9/6/2024,7:10am,CST,,,,,11:30pm,CST,,,
9/7/2024,7:00am,CST,,,10:20am,CST,10:30pm,CST,,,
9/8/2024,6:00am,CST,,,,,10:15pm,CST,,,
9/9/2024,7:45am,CST,,,,,10:40pm,CST,,,
9/10/2024,7:00am,CST,,,,,10:30pm,CST,,,
9/11/2024,7:00am,CST,,,,,9:45pm,CST,,,
9/12/2024,3:30am,CST,,,,,11:00pm,CST,,,
9/13/2024,7:00am,CST,,,,,10:30pm,CST,,,
9/14/2024,7:00am,CST,,,,,10:30pm,CST,,,
9/15/2024,3:30am,CST,1:30pm,CST,3:30pm,CST,9:30pm,CST,,,
9/16/2024,6:00am,CST,,,,,11:15pm,CST,,,
9/17/2024,4:00am,CST,,,,,11:25pm,CST,,,
9/18/2024,7:00am,CST,,,,,10:20pm,CST,,,
